SEQ,STAND_YMD,STAND_YM,STAND_YY
231,20230820,202308,2023
232,20230821,202308,2023
233,20230822,202308,2023
234,20230823,202308,2023
235,20230824,202308,2023
236,20230825,202308,2023
237,20230826,202308,2023
238,20230827,202308,2023
239,20230828,202308,2023
240,20230829,202308,2023
241,20230830,202308,2023
242,20230831,202308,2023
243,20230901,202309,2023
244,20230902,202309,2023
245,20230903,202309,2023
246,20230904,202309,2023
247,20230905,202309,2023
248,20230906,202309,2023
249,20230907,202309,2023
250,20230908,202309,2023
251,20230909,202309,2023
252,20230910,202309,2023
253,20230911,202309,2023
254,20230912,202309,2023
255,20230913,202309,2023
256,20230914,202309,2023
257,20230915,202309,2023
258,20230916,202309,2023
259,20230917,202309,2023
260,20230918,202309,2023
261,20230919,202309,2023
262,20230920,202309,2023
263,20230921,202309,2023
264,20230922,202309,2023
265,20230923,202309,2023
266,20230924,202309,2023
267,20230925,202309,2023
268,20230926,202309,2023
269,20230927,202309,2023
270,20230928,202309,2023
271,20230929,202309,2023
272,20230930,202309,2023
273,20231001,202310,2023
274,20231002,202310,2023
275,20231003,202310,2023
276,20231004,202310,2023
277,20231005,202310,2023
278,20231006,202310,2023
279,20231007,202310,2023
280,20231008,202310,2023
281,20231009,202310,2023
282,20231010,202310,2023
283,20231011,202310,2023
284,20231012,202310,2023
285,20231013,202310,2023
286,20231014,202310,2023
287,20231015,202310,2023
288,20231016,202310,2023
289,20231017,202310,2023
290,20231018,202310,2023
291,20231019,202310,2023
292,20231020,202310,2023
293,20231021,202310,2023
294,20231022,202310,2023
295,20231023,202310,2023
296,20231024,202310,2023
297,20231025,202310,2023
298,20231026,202310,2023
299,20231027,202310,2023
300,20231028,202310,2023
301,20231029,202310,2023
302,20231030,202310,2023
303,20231031,202310,2023
304,20231101,202311,2023
305,20231102,202311,2023
306,20231103,202311,2023
307,20231104,202311,2023
308,20231105,202311,2023
309,20231106,202311,2023
310,20231107,202311,2023
311,20231108,202311,2023
312,20231109,202311,2023
313,20231110,202311,2023
314,20231111,202311,2023
315,20231112,202311,2023
316,20231113,202311,2023
317,20231114,202311,2023
318,20231115,202311,2023
319,20231116,202311,2023
320,20231117,202311,2023
321,20231118,202311,2023
322,20231119,202311,2023
323,20231120,202311,2023
324,20231121,202311,2023
325,20231122,202311,2023
326,20231123,202311,2023
327,20231124,202311,2023
328,20231125,202311,2023
329,20231126,202311,2023
330,20231127,202311,2023
331,20231128,202311,2023
332,20231129,202311,2023
333,20231130,202311,2023
334,20231201,202312,2023
335,20231202,202312,2023
336,20231203,202312,2023
337,20231204,202312,2023
338,20231205,202312,2023
339,20231206,202312,2023
340,20231207,202312,2023
341,20231208,202312,2023
342,20231209,202312,2023
343,20231210,202312,2023
344,20231211,202312,2023
345,20231212,202312,2023
346,20231213,202312,2023
347,20231214,202312,2023
348,20231215,202312,2023
349,20231216,202312,2023
350,20231217,202312,2023
351,20231218,202312,2023
352,20231219,202312,2023
353,20231220,202312,2023
354,20231221,202312,2023
355,20231222,202312,2023
356,20231223,202312,2023
357,20231224,202312,2023
358,20231225,202312,2023
359,20231226,202312,2023
360,20231227,202312,2023
361,20231228,202312,2023
362,20231229,202312,2023
363,20231230,202312,2023
364,20231231,202312,2023
